"DisplayName","PrimarySmtpAddress","Identity","RecipientTypeDetails","Before_RequireSenderAuthEnabled","After_RequireSenderAuthEnabled","ChangedInThisRun","Mode","TimestampUtc"
"Newark Nurse Group","NewarkNurseGroup@coraswellness.org","Newark Nurse Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Nurses Fax","newarkfaxnurses@coraswellness.org","Newark Nurses Fax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Outpatient Couneslors Fax","newarkfaxcounselors@coraswellness.org","Newark Outpatient Couneslors Fax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Newark Transfer Group","NewarkTransferGroup@coraswellness.org","Newark Transfer Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"NewarkRC","newarkrc@coraswellness.org","NewarkRC","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Nurse","nurse@coraswellness.org","Nurse","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"oregon-1-dme-journal-group-1777669","oregon-1-dme-journal-group-1777669@coraswellness.onmicrosoft.com","oregon-1-dme-journal-group-1777669","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"PNP Desktop Faxing","pnpefax@coraswellness.org","PNP Desktop Faxing","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"ProviderHR - Coras","providerhr@coraswellness.org","ProviderHR - Coras","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Seaford AOD","seafordaod@coraswellness.org","Seaford AOD","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Seaford Counselor Efax","seafordmatefax@coraswellness.org","Seaford Counselor Efax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Seaford Nurse Group","SeafordNurseGroup@coraswellness.org","Seaford Nurse Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Seaford Nurses Efax","seafordnurseefax@coraswellness.org","Seaford Nurses Efax","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Seaford Transfer Group","SeafordTransferGroup@coraswellness.org","Seaford Transfer Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Smyrna Faxin","smyrnaefax@coraswellness.org","Smyrna Faxin","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Smyrna Nurse Group","SmyrnaNurseGroup@coraswellness.org","Smyrna Nurse Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Smyrna Transfer Group","SmyrnaTransferGroup@coraswellness.org","Smyrna Transfer Group","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
"Stacey Simon FWD","StaceySimonFWD@coraswellness.org","Stacey Simon FWD","MailUniversalDistributionGroup","True","False","True","Applied","10/3/2025 2:38:59 PM"
